Date,EUR/HUF,BUBOR 3-MO,EURIBOR 3-MO,50%RMAX+50%ZMAX,ESTER
2019-10-02,0.04,0,0,-0.025,-0.002
2019-10-03,-1.49,0,0,0,-0.004
2019-10-04,-0.87,0,0.01,0,0.002
2019-10-07,0.6,0,0,0,-0.001
2019-10-08,0.94,0,0,0,0.002
2019-10-09,0.33,0,0,0.01,0
2019-10-10,-0.69,0,0,0,0
2019-10-11,-1.76,0,0,-0.005,0.002
2019-10-14,-0.37,0,0,0.005,0.001
2019-10-15,0.67,0,0.01,-0.005,-0.002
2019-10-16,0.41,0,0,-0.025,0.003
2019-10-17,0.14,0,0,0,0
2019-10-18,-1.77,0,0,0,0.001
2019-10-21,-0.56,0,0.01,0,-0.002
2019-10-22,-0.2,0,0,0,0.001
2019-10-24,-0.87,0,0,-0.01,0
2019-10-25,-0.22,0,-0.01,0.01,0
2019-10-28,-0.41,0,0,-0.005,0
2019-10-29,-0.07,0,0,0,0.003
2019-10-30,1.2,-0.01,0.01,0,0
2019-10-31,0,0,0.01,0.005,0.002
2019-11-04,-1.83,0,-0.01,0,0.007
2019-11-05,1.11,0,0,0,-0.005
2019-11-06,2.36,-0.01,-0.01,-0.005,0.002
2019-11-07,1.1,0,0.01,0.01,0.002
2019-11-08,1.09,0,0,-0.005,-0.003
2019-11-11,0.69,0,0.01,-0.005,-0.001
2019-11-12,0.11,0,-0.01,0.015,0.004
2019-11-13,0.5,0,0,0,0.006
2019-11-14,-1.19,0,0,0,-0.005
2019-11-15,0.85,0,0,0.005,-0.005
2019-11-18,0.75,0,0,0,0
2019-11-19,-0.45,0,-0.01,0,-0.001
2019-11-20,-1.66,0,0,0.005,0.031
2019-11-21,0.5,0,0,-0.005,-0.031
2019-11-22,0.61,0,0.01,-0.005,0.006
2019-11-25,0.68,-0.01,0,0.005,0.003
2019-11-26,1.46,0,0,-0.01,0
2019-11-27,-0.59,0,0,-0.005,0
2019-11-28,0.8,-0.01,0,0,0.002
2019-11-29,-2.01,0,0,-0.005,-0.001
2019-12-02,-1.26,0,0,-0.005,-0.009
2019-12-03,-1.15,0,0,0.005,0.002
2019-12-04,-0.94,0,0.01,-0.005,-0.001
2019-12-05,-0.39,0,-0.01,0.005,0
2019-12-06,-0.63,0,0.01,0,-0.001
2019-12-09,1.4,0,0,0,0
2019-12-10,-0.01,-0.01,0,0,-0.003
2019-12-11,-1.44,0,0,0,0
2019-12-12,-0.72,0,-0.01,-0.005,0
2019-12-13,-0.74,0,0,0.005,0.001
2019-12-16,0.19,0,0,0,0
2019-12-17,1.44,0,0,0.005,0.007
2019-12-18,0.2,0,0,0,-0.004
2019-12-19,0.74,0,0.01,-0.005,0
2019-12-20,-1.04,0,-0.01,0,0
2019-12-23,0.48,0,0.01,0,-0.005
2019-12-30,-0.12,0,0,-0.005,0.004
2019-12-31,-0.19,0,0.01,0.01,0.01
2020-01-02,-0.53,0,0,-0.01,-0.008
2020-01-03,-0.54,0,0,0,0.002
2020-01-06,0.53,0,-0.01,0.005,-0.002
2020-01-07,0.73,0,0,0,-0.001
2020-01-08,0.69,0,0,-0.005,0.004
2020-01-09,0.18,0,0,0.005,-0.003
2020-01-10,2.26,0,-0.01,-0.005,0.001
2020-01-13,1.14,0,0.01,0.005,0.001
2020-01-14,-2.33,0,0,0,-0.001
2020-01-15,0.56,0,0,0,0
2020-01-16,0.62,0,0,0.01,0.002
2020-01-17,1.66,0,0,0,-0.001
2020-01-20,1.42,0,0,0.02,-0.001
2020-01-21,-1.38,0.01,0,-0.005,0.003
2020-01-22,-0.44,0.01,0,0.005,-0.001
2020-01-23,1.81,0.01,0,-0.01,-0.001
2020-01-24,-0.73,0,0,0,0
2020-01-27,0.99,0.01,-0.01,0.005,-0.001
2020-01-28,0.2,0.02,0,0,0.002
2020-01-29,0.25,0.01,0,-0.01,-0.004
2020-01-30,0.37,0,0,0,0.001
2020-01-31,-1.33,0.01,0.01,-0.005,0
2020-02-03,1.41,0,0,-0.005,0.002
2020-02-04,-1.7,0.02,-0.01,-0.02,0.001
2020-02-05,-0.62,0.03,0,-0.01,0
2020-02-06,1.35,0.01,0,-0.005,0.001
2020-02-07,1.78,0.01,0,0,-0.002
2020-02-10,-0.78,0.01,0,-0.005,0
2020-02-11,-0.38,0.02,-0.01,0.005,-0.004
2020-02-12,1.05,0.02,0,0,0
2020-02-13,0.07,0.06,0,-0.08,0.001
2020-02-14,-3.89,0.08,0,-0.07,0.002
2020-02-17,-0.27,0.08,0,-0.07,-0.003
2020-02-18,0.77,0.05,0.01,0.045,0.005
2020-02-19,-0.34,-0.02,0,0.05,-0.002
2020-02-20,2.76,-0.01,-0.01,0,0
2020-02-21,-0.1,0,-0.01,0.02,-0.001
2020-02-24,0.56,0,0.01,-0.005,-0.001
2020-02-25,-1.11,0,-0.01,0,0.001
2020-02-26,2.35,0,0,0,0
2020-02-27,-0.44,0,-0.01,0,0.001
2020-02-28,0.76,0.01,0.01,0,-0.002
2020-03-02,-2.41,0.02,-0.01,0.005,-0.002
2020-03-03,-0.44,0.01,-0.03,0.005,0
2020-03-04,-1.93,0,-0.01,0,0.001
2020-03-05,0.94,0.01,0,-0.03,0.001
2020-03-06,1.56,0.01,0,-0.005,-0.001
2020-03-09,-1.38,0.03,0,0.005,0.002
2020-03-10,-0.29,0,-0.01,-0.01,-0.002
2020-03-11,-1.07,-0.02,0.01,0.005,-0.002
2020-03-12,2.65,-0.01,-0.02,-0.04,0.003
2020-03-13,0.49,0,0.06,-0.01,-0.001
2020-03-16,2.17,0.01,0.02,-0.07,0.005
2020-03-17,7.17,-0.02,0,0,0.005
2020-03-18,2.83,-0.02,0,-0.035,0.002
2020-03-19,7.45,-0.02,0.02,0.01,0.003
2020-03-20,-7.77,-0.02,0.02,0,0.002
2020-03-23,1.7,-0.01,0,-0.03,-0.001
2020-03-24,-1.22,-0.03,0,0.01,-0.002
2020-03-25,4.16,-0.05,0,0,0
2020-03-26,3.3,-0.03,0.02,0.01,-0.002
2020-03-27,-3.49,-0.02,0,0.02,-0.001
2020-03-30,2.91,0,0,0,0.002
2020-03-31,1.88,0.01,-0.01,-0.005,0.006
2020-04-01,5.48,0.01,0.02,-0.025,-0.005
2020-04-02,-2.81,0.38,0,-0.055,-0.007
2020-04-03,2.66,0.07,0,-0.1,-0.005
2020-04-06,-1.07,0.01,0.02,-0.005,0.006
2020-04-07,-3.4,-0.01,0.03,0.005,0
2020-04-08,-1.19,0.18,0.04,-0.025,-0.002
